name,author,year_birth,year_death,popularity,subjects_list
Lincoln Letters,Abraham Lincoln,1809,1865,31,"['Lincoln, Abraham, 1809-1865 -- Correspondence']"
Lincoln's First Inaugural Address,Abraham Lincoln,1809,1865,70,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']"
"Lincoln's Gettysburg Address, given November 19, 1863",Abraham Lincoln,1809,1865,70,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']"
"Lincoln's Inaugurals, Addresses and Letters (Selections)",Abraham Lincoln,1809,1865,47,"['Lincoln, Abraham, 1809-1865', 'Lincoln, Abraham, 1809-1865 -- Correspondence', 'Lincoln, Abraham, 1809-1865 -- Oratory', 'Presidents -- United States -- Inaugural addresses']"
Lincoln's Second Inaugural Address,Abraham Lincoln,1809,1865,73,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']"
"Speeches and Letters of Abraham Lincoln, 1832-1865",Abraham Lincoln,1809,1865,127,"['Lincoln, Abraham, 1809-1865 -- Correspondence', 'Lincoln, Abraham, 1809-1865 -- Oratory', 'Speeches, addresses, etc., American']"
State of the Union Addresses,Abraham Lincoln,1809,1865,14,"['Presidents -- United States -- Messages', 'United States -- Politics and government -- Sources']"
The Emancipation Proclamation,Abraham Lincoln,1809,1865,37,['United States. President (1861-1865 : Lincoln). Emancipation Proclamation']
The Life and Public Service of General Zachary Taylor_ An Address,Abraham Lincoln,1809,1865,36,"['Lincoln, Abraham, 1809-1865', 'Presidents -- United States -- Biography']"
"The Writings of Abraham Lincoln, Volume 1_ 1832-1843",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 2_ 1843-1858",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 3",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 4",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 5_ 1858-1862",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 6_ 1862-1863",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
"The Writings of Abraham Lincoln, Volume 7_ 1863-1865",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']"
The Mysterious Affair at Styles,Agatha Christie,1890,1976,6538,"['Belgians -- England -- Fiction', 'Detective and mystery stories', 'Poirot, Hercule (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction']"
The Secret Adversary,Agatha Christie,1890,1976,2232,"['Beresford, Tommy (Fictitious character) -- Fiction', 'Beresford, Tuppence (Fictitious character) -- Fiction', 'Detective and mystery stories', 'Domestic fiction', 'Married people -- Fiction', 'Missing persons -- Fiction', 'Private investigators -- England -- Fiction']"
Relativity_ The Special and General Theory,Albert Einstein,1879,1955,1063,['Relativity (Physics)']
Crome Yellow,Aldous Huxley,1894,1963,354,"['Country homes -- Fiction', 'England -- Fiction', 'Humorous stories', 'Intellectuals -- Fiction', 'Satire']"
Mortal Coils,Aldous Huxley,1894,1963,128,"['Great Britain -- Social life and customs -- 20th century -- Fiction', 'Short stories, English']"
The Defeat of Youth and Other Poems,Aldous Huxley,1894,1963,16,"['Darwin, Charles, 1809-1882. On the origin of species', 'Evolution (Biology)']"
An Essay on Criticism,Alexander Pope,1688,1744,361,"['Criticism', 'Poetry -- Early works to 1800']"
Essay on Man,Alexander Pope,1688,1744,1418,['English poetry -- 18th century']
"The Poetical Works of Alexander Pope, Volume 1",Alexander Pope,1688,1744,2463,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']"
"The Poetical Works of Alexander Pope, Volume 2",Alexander Pope,1688,1744,2463,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']"
The Rape of the Lock and Other Poems,Alexander Pope,1688,1744,2563,"['Catholics -- England -- Poetry', 'English poetry -- 18th century', 'Young women -- Poetry']"
"The Works of Alexander Pope, Volume 1",Alexander Pope,1688,1744,79,['English poetry -- 18th century']
Contributions to the Theory of Natural Selection,Alfred Russel Wallace,1823,1913,31,['Natural selection']
Darwinism,Alfred Russel Wallace,1823,1913,85,"['Evolution', 'Natural selection']"
Is Mars Habitable_,Alfred Russel Wallace,1823,1913,25,"['Lowell, Percival, 1855-1916. Mars and its canals', 'Mars (Planet)']"
Island Life,Alfred Russel Wallace,1823,1913,16,"['Biogeography', 'Glacial epoch', 'Island ecology']"
"The Malay Archipelago, Volume 1",Alfred Russel Wallace,1823,1913,67,"['Ethnology -- Malay Archipelago', 'Malay Archipelago -- Description and travel', 'Natural history -- Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913 -- Travel -- Malay Archipelago']"
"The Malay Archipelago, Volume 2",Alfred Russel Wallace,1823,1913,67,"['Ethnology -- Malay Archipelago', 'Malay Archipelago -- Description and travel', 'Natural history -- Malay Archipelago', 'Wallace, Alfred Russel, 1823-1913 -- Travel -- Malay Archipelago']"
