,name,author,year_birth,year_death,popularity,subjects_list,graph_size,central_graph_size,fluidity_total,fluidity_central,subjects_list_separated,category_community,similarity_community,graph_size_ratio,main_character_importance,second_character_importance,main_character,second_character
0,Lincoln Letters,Abraham Lincoln,1809,1865,31,"['Lincoln, Abraham, 1809-1865 -- Correspondence']",7,2,16,26,"['Lincoln, Abraham, 1809-1865', 'Correspondence']",61,35,0.2857142857142857,0.2718800979150727,0.2394518122671119,A. LINCOLN,John B. Corner
1,Lincoln's First Inaugural Address,Abraham Lincoln,1809,1865,70,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']",0,0,0,0,"['Presidents', 'Inaugural addresses', '1861-1865', 'United States', 'Politics and government']",40,-1,-1.0,-1.0,-1.0,---,---
2,"Lincoln's Gettysburg Address, given November 19, 1863",Abraham Lincoln,1809,1865,70,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']",1,1,0,1,"['Presidents', 'Inaugural addresses', '1861-1865', 'United States', 'Politics and government']",40,21,1.0,1.0,-1.0,Lincoln,---
3,"Lincoln's Inaugurals, Addresses and Letters (Selections)",Abraham Lincoln,1809,1865,47,"['Lincoln, Abraham, 1809-1865', 'Lincoln, Abraham, 1809-1865 -- Correspondence', 'Lincoln, Abraham, 1809-1865 -- Oratory', 'Presidents -- United States -- Inaugural addresses']",135,26,358,924,"['Presidents', 'Inaugural addresses', 'Lincoln, Abraham, 1809-1865', 'United States', 'Correspondence', 'Oratory']",61,17,0.1925925925925926,0.12033277640168935,0.075856772909224,Lincoln,Douglas
4,Lincoln's Second Inaugural Address,Abraham Lincoln,1809,1865,73,"['Presidents -- United States -- Inaugural addresses', 'United States -- Politics and government -- 1861-1865']",0,0,0,0,"['Presidents', 'Inaugural addresses', '1861-1865', 'United States', 'Politics and government']",40,-1,-1.0,-1.0,-1.0,---,---
5,"Speeches and Letters of Abraham Lincoln, 1832-1865",Abraham Lincoln,1809,1865,127,"['Lincoln, Abraham, 1809-1865 -- Correspondence', 'Lincoln, Abraham, 1809-1865 -- Oratory', 'Speeches, addresses, etc., American']",211,46,538,1168,"['Lincoln, Abraham, 1809-1865', 'Speeches, addresses, etc., American', 'Correspondence', 'Oratory']",61,17,0.21800947867298578,0.07768589552305864,0.062268955160637456,Lincoln,Douglas
6,State of the Union Addresses,Abraham Lincoln,1809,1865,14,"['Presidents -- United States -- Messages', 'United States -- Politics and government -- Sources']",13,4,12,25,"['Presidents', 'Messages', 'Sources', 'United States', 'Politics and government']",-1,35,0.3076923076923077,0.1418439716312059,0.1418439716312059,Daniel,McLean
7,The Emancipation Proclamation,Abraham Lincoln,1809,1865,37,['United States. President (1861-1865 : Lincoln). Emancipation Proclamation'],3,2,4,6,['United States. President (1861-1865 : Lincoln). Emancipation Proclamation'],-1,21,0.6666666666666666,0.4651162790697675,0.46511627906976744,Elizabeth City,Anne
8,The Life and Public Service of General Zachary Taylor_ An Address,Abraham Lincoln,1809,1865,36,"['Lincoln, Abraham, 1809-1865', 'Presidents -- United States -- Biography']",50,5,140,395,"['Lincoln, Abraham, 1809-1865', 'Presidents', 'United States', 'Biography']",61,21,0.1,0.20989145191382813,0.19266205108349474,Taylor,Lincoln
9,"The Writings of Abraham Lincoln, Volume 1_ 1832-1843",Abraham Lincoln,1809,1865,30,"['Lincoln, Abraham, 1809-1865', 'United States -- History -- Civil War, 1861-1865']",276,57,678,1525,"['History', 'Lincoln, Abraham, 1809-1865', 'Civil War, 1861-1865', 'United States']",61,17,0.20652173913043478,0.06297048019184916,0.03345599900457008,Lincoln,Adams
